ds,yhat,yhat_lower,yhat_upper
2018-01-01 09:00:00,7.252683607269293,-2.26403577388266,15.937750387717736
2018-01-01 15:00:00,7.546342880135027,-1.3787727288905747,16.358390650065477
2018-01-01 16:00:00,7.905362331694482,-0.6221951085776661,18.378400740141767
2018-01-01 17:00:00,7.835149969419268,-1.4998602045859284,17.01078378709802
2018-01-01 19:00:00,7.098291707923906,-1.891013832892908,15.811335622828121
2018-01-01 20:00:00,7.681936808432711,-1.9888231827425107,17.042586030264548
2018-01-01 21:00:00,9.269001643182575,0.42648622735824104,18.08985345762679
2018-01-01 22:00:00,11.286701220401483,1.8944133469739808,20.81887275189067
2018-01-01 23:00:00,12.867954376450847,3.2458860455163663,21.778684539378645
2018-01-02 00:00:00,13.513356511196843,3.880848424843655,22.098861095231804
2018-01-02 09:00:00,7.310696994362975,-2.2872315853320253,17.42552714693625
2018-01-02 14:00:00,7.177045927137542,-2.1853048837048155,16.43166989590176
2018-01-02 15:00:00,7.546864702116793,-1.6419953719649645,17.23122375172004
2018-01-02 16:00:00,7.896265332023656,-1.9091591743207148,16.798771328473556
2018-01-02 17:00:00,7.816934020210311,-1.776092723758544,16.66603062103082
2018-01-02 19:00:00,7.064096362662002,-2.140777976159906,16.79801651761593
2018-01-02 21:00:00,9.223027285956086,0.30571978673847616,18.30529689154779
2018-01-02 22:00:00,11.236815560571122,2.2637248275001634,20.487645220275628
2018-01-02 23:00:00,12.815661151638292,3.193491050528249,22.090046755708325
2018-01-03 05:00:00,11.611764609823183,1.6613823224890238,21.27876640878196
2018-01-03 10:00:00,7.4802698941181385,-1.7120538397786147,16.64285909147403
2018-01-03 14:00:00,7.291816589061995,-1.5753497584370384,16.03689752776851
2018-01-03 15:00:00,7.682829927989876,-1.458479049773125,16.82517897605058
2018-01-03 16:00:00,8.053675854214909,-0.9930340852172365,17.82951102401427
2018-01-03 17:00:00,7.995790133499861,-1.458303775506559,17.630743110299758
2018-01-03 19:00:00,7.284812889467541,-2.2714704790412155,16.587966368617185
2018-01-03 20:00:00,7.881853005769915,-1.867071430475962,17.34509875076141
2018-01-03 21:00:00,9.482495230343574,-0.3711935830081499,18.350480710276244
2018-01-03 22:00:00,11.513854243839438,2.2976333679008887,20.50415398425646
2018-01-03 23:00:00,13.108741609646291,3.5546308265827258,21.855808632299016
2018-01-04 00:00:00,13.767639436901481,4.186611730584729,22.91019857724973
2018-01-04 10:00:00,7.797904136238579,-1.6597972940839472,17.105853257941742
2018-01-04 13:00:00,7.5064876893037535,-2.695393719252648,16.498637020990223
2018-01-04 14:00:00,7.538368128338871,-2.0438691805143185,17.301909593461264
2018-01-04 15:00:00,7.905728786539418,-1.2860912307616406,17.406665098814603
2018-01-04 16:00:00,8.250942875904103,-1.5502358041998918,17.39322095088234
2018-01-04 17:00:00,8.165678481645367,-1.5890400034060919,18.053785802236398
2018-01-04 18:00:00,7.686993974172035,-1.3419251549189402,16.603009073668456
2018-01-04 19:00:00,7.395742030443786,-2.656462098857545,16.74521794454047
2018-01-04 20:00:00,7.96176731904991,-0.8656972667488188,16.709519700818973
2018-01-04 21:00:00,9.530773198428538,0.3626281110168227,18.707611447937722
2018-01-04 22:00:00,11.530189528252,1.5960571153703336,20.733404653410656
2018-01-05 00:00:00,13.72046155205071,5.332885299757074,23.36145027179816
2018-01-05 01:00:00,13.582100562109154,4.628966687013352,22.394356784874105
2018-01-05 11:00:00,7.625494006945497,-0.9644537250011264,17.132695590385854
2018-01-05 14:00:00,7.244438903414,-1.9388732692610111,16.547473860604086
2018-01-05 17:00:00,7.894364359277741,-1.7448256074109303,17.779337335525916
2018-01-05 18:00:00,7.429631845370012,-1.6836791314914705,16.59529666860073
2018-01-05 20:00:00,7.741168388205245,-1.705761796146362,16.645990374118885
2018-01-05 21:00:00,9.332621783767689,-0.22958691106381224,18.90063146508387
2018-01-05 22:00:00,11.356906500592341,1.389760844473868,20.587617462660564
2018-01-05 23:00:00,12.946906926150898,3.1925503100005117,21.686963212289438
2018-01-06 00:00:00,13.603159018046217,3.2896442010654763,22.421156997264198
2018-01-06 01:00:00,13.495348201309785,3.7801033728122317,23.043446919213217
2018-01-06 09:00:00,7.571646460246455,-1.7900090115226903,16.91837682847705
2018-01-06 11:00:00,7.8620287274917295,-1.8963762755799207,16.432614064757306
2018-01-06 13:00:00,7.500235597538862,-2.4791321318361477,16.092424718666013
2018-01-06 14:00:00,7.555660343715679,-1.3913792362219282,16.21937039998929
2018-01-06 15:00:00,7.947394098307048,-1.0991108552570334,16.996463726785986
2018-01-06 16:00:00,8.31760923247287,-1.6676349601684188,17.31999688800262
2018-01-06 21:00:00,9.72463319386788,0.565046757078675,19.517685995600317
2018-01-06 22:00:00,11.748488798500164,2.6321332902870025,21.33818756314061
2018-01-07 10:00:00,7.926933601448011,-1.3801548426264323,16.818345968234024
2018-01-07 12:00:00,7.869400979836106,-1.1585238698421607,17.46223744296914
2018-01-07 17:00:00,8.285764754465424,-0.46296638172586085,17.209335560168345
2018-01-07 19:00:00,7.526155271751863,-1.6719921902398098,16.485118365360464
2018-01-07 22:00:00,11.68630251601774,2.5650253313901614,20.932989978257186
2018-01-07 23:00:00,13.260207729469009,4.039548394161433,22.3654345103412
2018-01-08 07:00:00,9.120479426482461,-0.1996916455491259,18.738041143373287
2018-01-08 09:00:00,7.697243388955766,-1.298308140133143,16.735103016926917
2018-01-08 10:00:00,7.8349585108869855,-1.392193686401876,17.077486792985876
2018-01-08 12:00:00,7.792458192981714,-1.6783531638612725,16.944025514511033
